cadet_id,grad_year,academic_major,is_ic,squadron,gpa,pea,avg_study_hours
C03686,2030,Management,0,19,1.61,1.88,10
C02704,2030,Behavioral Sciences,1,18,1.85,3.38,17
C03565,2030,Undeclared,0,24,2.51,2.24,22.8
C01220,2030,Undeclared,0,3,2.27,2.42,21.1
C02656,2030,Undeclared,1,38,2.21,2.88,9.5
C00441,2030,Political Science,1,9,2.14,3.24,12.4
C00657,2030,Undeclared,0,38,1.78,1.33,15.7
C02694,2030,Undeclared,0,23,1.47,2.35,14.9
C00902,2030,Computer Science,1,17,2.85,3.26,15.4
C03020,2030,Aeronautical Engineering,1,26,2.85,3.44,19.5
C01769,2030,Undeclared,1,11,2.64,3.41,11.9
C02882,2030,Undeclared,1,26,1.53,2.94,11
C02695,2030,Undeclared,0,11,1.49,2.27,8.8
C01573,2030,Undeclared,1,17,3,3.28,14.5
C00229,2030,Undeclared,0,25,1.65,2.32,16.2
C00203,2030,Undeclared,0,13,2.59,2.72,17.6
C03375,2030,Undeclared,0,30,3.44,2.44,23.9
C01393,2030,Undeclared,0,31,2.44,2.73,15.9
C02308,2030,Undeclared,0,4,1.94,1.87,15.5
C02493,2030,Computer Science,1,12,2.79,2.34,19.6
C01518,2030,Undeclared,0,4,3.71,2.09,20.3
C02930,2030,Undeclared,1,37,2.42,3.09,15.6
C00469,2030,Undeclared,0,2,2.27,2.75,13
C01508,2030,Undeclared,1,40,2.7,3.75,11.7
C03150,2030,Undeclared,0,17,3.09,2.32,14.1
C03091,2030,Undeclared,0,4,0.89,1.72,8.5
C02091,2030,Geospatial Science,0,23,2.02,1.69,19.6
C00162,2030,Undeclared,0,24,2.97,2.42,21.8
C03589,2030,Undeclared,0,10,0.4,1.67,10.2
C03535,2030,Mathematical Sciences,0,40,3.04,2.1,21.2
C00761,2030,Undeclared,1,38,2.4,2.24,9.9
C00299,2030,Undeclared,0,11,1.8,2.95,15.4
C00855,2030,Undeclared,1,36,1.31,3.28,8.4
C00927,2030,Undeclared,0,21,1.86,1.87,12.8
C00592,2030,Undeclared,0,36,2.62,2.45,12.8
C01952,2030,Undeclared,0,5,3.74,2.67,12.4
C02344,2030,Undeclared,1,7,2.52,3.49,15.6
C01187,2030,Cyber Science,0,40,3.39,2.21,20.2
C02133,2030,Undeclared,1,37,2.81,2.27,14.1
C03085,2030,Undeclared,1,31,3.33,2.92,22
C03464,2030,Undeclared,1,6,1.11,3.64,12.2
C02204,2030,Management,0,35,2.4,2.52,14.1
C01642,2030,Undeclared,0,36,1.22,1.84,16.3
C03880,2030,Undeclared,1,21,2.71,3.11,14
C00457,2030,Undeclared,0,22,2.45,1.55,12.9
C01659,2030,Undeclared,0,4,2.48,2.28,19.3
C03592,2030,Undeclared,0,31,2.65,2.04,21.7
C02545,2030,Behavioral Sciences,1,32,2.62,3.48,10.8
C02748,2030,Undeclared,0,26,1.82,1.77,15.9
C03675,2030,Undeclared,0,33,2.28,1.78,13.6
C03853,2030,Undeclared,0,5,3.95,2.09,17
C00115,2030,Undeclared,1,5,2.35,4,17
C03834,2030,Undeclared,0,7,1.69,2.06,16.9
C02799,2030,Undeclared,0,15,3.07,2.74,19.4
C01358,2030,Systems Engineering,1,17,3.87,3.51,19.6
C02359,2030,Undeclared,1,25,2.53,2.81,12.6
C01058,2030,Undeclared,1,18,2.44,2.84,9.9
C00201,2030,Undeclared,0,40,3.13,2.25,13.9
C01185,2030,Undeclared,0,4,3.16,2.05,18.6
C01776,2030,Undeclared,0,35,3.18,2.6,20.7
C01130,2030,Management,1,2,3.32,2.9,16.2
C01640,2030,Undeclared,0,29,2.27,2.23,19.1
C03323,2030,Undeclared,0,35,1.51,2.57,16.7
C03744,2030,Undeclared,1,14,2.2,3.22,7.8
C01046,2030,Undeclared,0,15,1.53,2.84,14.3
C01729,2030,Undeclared,0,38,2.53,2.12,17.8
C01767,2030,Economics,0,32,1.88,1.96,17.3
C01808,2030,Undeclared,0,15,2.86,1.95,18
C01207,2030,Legal Studies,0,6,2.54,2.13,17.2
C02421,2030,Systems Engineering,0,9,2.9,3.03,18.2
C03829,2030,Undeclared,0,31,2.46,1.94,18.2
C00887,2030,Undeclared,0,35,1.33,2.09,8.9
C02112,2030,Undeclared,1,12,2.76,2.36,16.5
C01612,2030,Undeclared,0,13,1.88,1.8,9.4
C01268,2030,Undeclared,0,21,3.22,1.9,14.3
C00080,2030,Undeclared,0,19,2.89,2.68,15
C02994,2030,Aeronautical Engineering,0,31,2.29,1.61,22.6
C02201,2030,Undeclared,0,21,2.39,1.79,17.4
C03439,2030,Undeclared,0,11,1.46,3.18,17.2
C00031,2030,Undeclared,1,19,3.22,2.88,18.1
C02595,2030,Aeronautical Engineering,0,12,3.55,2.99,24.8
C02787,2030,Computer Science,0,32,2.73,3.3,19.5
C01650,2030,Undeclared,0,29,2.02,2.45,15.2
C03476,2030,Meteorology,0,21,3.49,2.5,18.3
C02588,2030,Undeclared,0,26,2.37,1.83,19.7
C00060,2030,Mechanical Engineering,0,31,2.8,2.27,25
C02336,2030,Undeclared,1,15,2.01,3.01,12.3
C02884,2030,Undeclared,1,14,2.4,2.94,8.2
C01606,2030,Economics,1,23,3.31,3.26,15
C01896,2030,Undeclared,1,40,2.79,2.92,10.8
C03969,2030,Management,0,7,2.26,1.96,12.2
C00949,2030,Management,0,6,1.66,3.11,13.2
C01883,2030,Undeclared,1,8,3.22,3.24,12.8
C01824,2030,Meteorology,0,14,2.77,2.8,22
C00985,2030,Undeclared,0,10,3.68,2.21,15.3
C02141,2030,Economics,0,13,1.88,1.16,20.1
C03949,2030,Undeclared,0,28,2.31,2.53,13.8
C02225,2030,Undeclared,0,15,3.45,2.48,13.9
C01335,2030,Undeclared,1,32,2.45,3.45,13
C03967,2030,Undeclared,0,20,2.97,1.99,17
C01279,2030,Systems Engineering,0,11,3.3,2.11,23.4
C02057,2030,Legal Studies,0,12,1.73,2.43,16
C02292,2030,Civil & Environmental Engineering,1,23,2.75,3.49,14.3
C00305,2030,Undeclared,1,4,2.69,3.45,13
C03667,2030,Undeclared,1,9,2.14,3.09,14.7
C02117,2030,Undeclared,0,13,2.94,2.85,14.7
C03251,2030,Undeclared,0,7,3.44,2.24,21.8
C02460,2030,Undeclared,0,26,2.7,2.04,22.7
C02423,2030,Undeclared,0,36,1.54,2.85,15.6
C02953,2030,Undeclared,0,31,3.02,1.77,15.5
C03784,2030,Undeclared,1,5,2.68,3.01,12.4
C03316,2030,Undeclared,0,8,1.36,1.86,9.9
C02266,2030,Undeclared,0,1,2.04,2.86,14.6
C02351,2030,Management,0,35,3.09,2.19,17
C03534,2030,Undeclared,0,22,3.91,1.65,16.9
C00799,2030,Undeclared,1,4,2.98,2.76,19
C01089,2030,Political Science,0,30,2.41,2.04,17.5
C00783,2030,Undeclared,0,22,3.77,1.63,20.2
C01144,2030,Undeclared,0,29,2.65,1.17,22.4
C00939,2030,Military & Strategic Studies,1,31,2.42,2.98,13.9
C01469,2030,Undeclared,1,14,1.7,3.16,11
C03527,2030,Physics,0,10,2.25,2.32,22.4
C01677,2030,Behavioral Sciences,1,40,2.66,3.39,10.5
C03944,2030,Undeclared,0,17,2.11,2.11,18.1
C00158,2030,Undeclared,0,1,2.37,2.6,17.1
C01150,2030,Undeclared,1,23,1.77,3.19,9.7
C00960,2030,Management,0,20,3.13,1.89,18.1
C00523,2030,Undeclared,1,38,2.34,2.6,9.7
C01179,2030,Undeclared,0,16,2.73,2.62,20.4
C01045,2030,Undeclared,0,17,1.72,2.5,14.8
C02920,2030,Undeclared,0,6,3.03,2.65,12.6
C00694,2030,Mathematical Sciences,0,38,2.14,2.74,16
C03401,2030,Undeclared,0,30,2.22,0.55,20.6
C01624,2030,Undeclared,0,34,3.32,2.52,14.9
C01017,2030,Aeronautical Engineering,0,15,3.22,2.57,25
C03738,2030,Undeclared,0,17,2.65,2.73,15.9
C01461,2030,Management,0,29,2.13,2.29,12.6
C00753,2030,Management,1,15,2.14,2.55,12.8
C02009,2030,Systems Engineering,1,13,2.47,3.55,14.7
C00354,2030,Undeclared,0,30,3.01,2.05,13.2
C00735,2030,Undeclared,0,27,1.65,1.26,11.9
C00364,2030,Undeclared,0,13,1.8,1.31,15.7
C03926,2030,Cyber Science,1,13,3.58,3.18,20
C02662,2030,Undeclared,1,36,3.58,3.47,18.8
C00750,2030,Military & Strategic Studies,1,30,1.07,3.71,9.8
C01735,2030,Undeclared,0,39,3.16,2.06,10.6
C00121,2030,Undeclared,0,27,2.55,1.36,13.7
C03708,2030,Undeclared,0,27,2.07,1.88,16.1
C03658,2030,Meteorology,0,12,2.8,2.1,22.2
C03636,2030,Undeclared,0,28,2.51,3.22,24.9
C03832,2030,Undeclared,0,21,2.68,2.1,15.9
C01276,2030,Cyber Science,0,33,2.24,2.76,25.4
C03533,2030,Biology,0,15,3.59,2.61,19.1
C03444,2030,Economics,0,23,2.49,1.6,17.6
C00136,2030,Undeclared,0,2,2.24,1.7,14.7
C00234,2030,Undeclared,0,12,3.32,2.58,16.1
C03350,2030,Systems Engineering,0,8,1.92,1.14,15
C00467,2030,Undeclared,1,5,3,3.37,14.2
C01730,2030,Undeclared,0,16,3.21,2.82,11.6
C01438,2030,Undeclared,1,10,3.11,3.63,18.8
C00212,2030,Undeclared,0,27,1.5,2.4,15.9
C00438,2030,Undeclared,0,39,2.38,2.22,18.6
C03827,2030,Management,0,25,2.27,3.31,13.2
C04012,2030,Undeclared,1,2,2.59,3.44,10.7
C04010,2030,Undeclared,0,40,1.91,2.52,19.2
C01971,2030,Undeclared,0,24,1.53,2.25,10.9
C00139,2030,Astronautical Engineering,0,37,3.35,2.22,22.4
C01140,2030,Undeclared,1,32,3.1,2.77,14.8
C03510,2030,Undeclared,1,8,2.07,4,17.1
C02279,2030,Undeclared,1,6,2.31,2.98,13.2
C03024,2030,Electrical & Computer Engineering,0,30,3.13,2.11,25.3
C03630,2030,Undeclared,1,40,2.87,3.39,15.3
C02055,2030,Systems Engineering,1,40,1.65,3.26,16
C03131,2030,Systems Engineering,0,3,1.94,3.41,18.2
C01043,2030,Undeclared,0,13,2.69,2.99,19.5
C00742,2030,Undeclared,1,26,2.89,3.7,9.2
C01028,2030,Undeclared,0,15,2.68,2.48,17.6
C03954,2030,Undeclared,0,10,2.88,2.27,15.7
C01460,2030,Undeclared,1,35,1.88,3.11,11
C00505,2030,Undeclared,1,1,2.89,2.95,18.1
C01116,2030,Undeclared,0,38,2.41,2.14,14.9
C01639,2030,Undeclared,1,28,2.24,3.63,16.9
C02619,2030,Undeclared,0,39,2.64,2.87,22.8
C02412,2030,Undeclared,0,8,2.77,1.81,22.9
C00530,2030,Undeclared,1,35,3.82,2.5,17.1
C00309,2030,Undeclared,0,33,1.84,2.18,15.6
C01493,2030,Undeclared,1,24,2.8,3.97,20
C03169,2030,Undeclared,1,3,1.95,2.59,13.5
C00220,2030,Undeclared,0,14,2.61,2.37,14
C00830,2030,Undeclared,0,10,3.58,1.84,20.8
C03769,2030,Undeclared,1,14,1.87,3.87,17.4
C03547,2030,Undeclared,0,22,0.7,2.72,14
C01300,2030,Undeclared,0,3,2.34,2.21,22.4
C03698,2030,Undeclared,1,10,3.05,4,12.7
C00788,2030,Aeronautical Engineering,0,10,2.05,2.15,17.5
C01109,2030,Undeclared,1,16,1.88,3.43,15.6
C03048,2030,Behavioral Sciences,0,20,3.07,2.5,16.8
C03170,2030,Undeclared,0,14,1.53,2.36,12
C00882,2030,Systems Engineering,1,20,3.77,3.34,22.2
C02401,2030,Undeclared,0,25,1.85,2.73,12.3
C01842,2030,Political Science,1,22,3.05,3.08,15.3
C01873,2030,Undeclared,1,3,2.7,3.84,14.8
C03836,2030,Undeclared,0,10,2.2,1.55,15
C01071,2030,Mechanical Engineering,1,32,3.4,2.93,21.2
C03189,2030,Undeclared,0,18,3.61,1.87,24.4
C01570,2030,Behavioral Sciences,0,2,2.9,3.46,20.5
C02258,2030,Management,1,36,3.28,3.41,16.6
C03321,2030,Data Science,0,22,2.79,1.36,19.5
C00723,2030,Civil & Environmental Engineering,1,40,0.6,4,17.1
C03380,2030,Undeclared,1,38,3.32,2.83,15
C01092,2030,Undeclared,0,32,3.26,2.53,17.2
C01124,2030,Mechanical Engineering,1,32,2.31,2.55,15.1
C03797,2030,Undeclared,1,11,3.48,3.49,17.5
C02140,2030,Mechanical Engineering,0,21,2.42,1.99,19.2
C00240,2030,Undeclared,0,9,3.69,1.51,20.5
C01605,2030,Undeclared,0,26,2.43,2.15,19.1
C02564,2030,Undeclared,0,11,2.73,1.83,15.6
C00278,2030,Undeclared,0,40,1.23,2.27,18
C01451,2030,Undeclared,1,32,2.25,3.3,15.8
C00640,2030,Economics,1,30,2.6,3.66,14.2
C00269,2030,Undeclared,1,26,3.02,3.54,13.4
C01269,2030,Undeclared,1,39,1.4,3.8,5.9
C02173,2030,Computer Science,0,26,3,2.44,19.3
C00074,2030,Computer Science,0,31,2.94,3.03,23.8
C00131,2030,Foreign Area Studies,1,36,1.28,2.82,12.2
C01115,2030,Undeclared,0,2,1.42,2.8,16.4
C00564,2030,Undeclared,0,22,1.37,2.53,11
C00224,2030,Undeclared,0,9,2.5,2.21,16.8
C04028,2030,Geospatial Science,0,35,2.99,2.38,18.8
C00419,2030,Undeclared,1,19,2.85,3.54,11.6
C00402,2030,Chemistry,1,3,2.41,2.84,9.1
C02041,2030,Undeclared,1,17,2.27,2.85,12.4
C03330,2030,Civil & Environmental Engineering,1,7,2.89,3.08,18.5
C01760,2030,Undeclared,0,8,1.97,3.15,14.9
C00792,2030,Mathematical Sciences,0,11,2.83,1.85,18.8
C03434,2030,Undeclared,0,21,1.42,2.05,19.1
C02719,2030,Economics,1,29,2.57,2.85,15.6
C02608,2030,Undeclared,0,37,2.97,1.4,17.2
C01040,2030,Management,1,39,2.64,4,8.7
C03157,2030,Undeclared,1,36,3.33,3.16,14.2
C03360,2030,Undeclared,0,18,1.45,1.6,11
C03619,2030,Undeclared,0,20,3.34,3.06,18.3
C02685,2030,Undeclared,1,17,2.2,2.81,17
C01914,2030,Civil & Environmental Engineering,1,1,2.09,3.02,10.1
C00679,2030,Undeclared,0,17,2.71,2.27,16.1
